Season,Rk,Player,Player ID,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014,156,Aaron Brooks,201166,PG,30,CHI,82,1885,14.4,0.534,0.383,0.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25,1.7,1.5,3.3,0.083,1,-2.4,-1.4,0.3
2013,212,Aaron Brooks,201166,PG,29,TOT,72,1557,12.5,0.518,0.427,0.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,0.4,-1.9,-1.5,0.2
2012,309,Aaron Brooks,201166,PG,28,TOT,53,997,11.8,0.555,0.424,0.165,1.5,7.9,4.6,18,1.5,0.8,16.5,18.1,0.8,0,0.8,0.041,0,-2.7,-2.7,-0.2
2010,272,Aaron Brooks,201166,PG,26,TOT,59,1284,13.1,0.489,0.402,0.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,0.7,0.4,1.1,0.04,0.4,-4,-3.5,-0.5
2009,81,Aaron Brooks,201166,PG,25,HOU,82,2919,16,0.549,0.394,0.224,2,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.7,-2.5,0.2,1.6
2008,149,Aaron Brooks,201166,PG,24,HOU,80,1998,12.9,0.521,0.395,0.22,2,7,4.6,20.2,1.2,0.3,12.7,22.9,1.4,2.2,3.6,0.086,0.2,-1.5,-1.3,0.4
2007,234,Aaron Brooks,201166,PG,23,HOU,51,608,13.1,0.535,0.484,0.218,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,0.6,0.8,1.4,0.112,0,-1.8,-1.8,0
2014,312,Aaron Gordon,203932,PF,19,ORL,47,797,11.4,0.517,0.231,0.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.8,0,-2.8,-0.2
2013,384,Aaron Gray,201189,C,29,TOT,37,355,7.8,0.466,0.016,0.328,13.2,22.3,17.7,9.1,1.4,1.8,30.8,12.5,-0.3,0.4,0.1,0.016,-4.3,1.7,-2.6,-0.1
2012,333,Aaron Gray,201189,C,28,TOR,42,513,9,0.544,0,0.489,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3,0.1,-2.9,-0.1
2011,232,Aaron Gray,201189,C,27,TOR,49,813,11.1,0.526,0,0.292,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,0.1,1.3,1.4,0.082,-3.5,1.5,-2,0
2010,274,Aaron Gray,201189,C,26,NOH,41,531,11,0.566,0,0.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,0.3,0.8,1.1,0.1,-3.1,1.2,-1.8,0
2009,289,Aaron Gray,201189,C,25,TOT,32,311,16.6,0.551,0,0.341,16.7,23.1,19.8,10.6,1.5,2.7,16,16.4,0.5,0.4,0.9,0.142,-0.6,1.3,0.7,0.2
2008,257,Aaron Gray,201189,C,24,CHI,56,715,11.5,0.508,0.006,0.353,13.5,21.7,17.6,9.6,1,1.8,17.2,14.5,0.5,0.8,1.3,0.086,-2.1,0.6,-1.5,0.1
2007,273,Aaron Gray,201189,C,23,CHI,61,613,13.9,0.529,0.005,0.485,12.5,18.7,15.5,11.4,1.8,2,18.7,22,0.1,0.8,0.8,0.066,-2.4,0.4,-2,0
2006,375,Aaron McKie,243,SF,34,LAL,10,131,7.5,0.647,0,0,0.9,15.1,8,14.4,1.6,0,32,8.6,0,0.1,0.1,0.039,-3.9,-0.4,-4.2,-0.1
2005,380,Aaron McKie,243,PG,33,LAL,14,121,6.1,0.272,0.167,0.167,2.9,16.5,9.7,12.5,2.2,0,13.4,5.6,0,0.1,0.1,0.041,-5.2,1.5,-3.7,-0.1
2004,216,Aaron McKie,243,SG,32,PHI,68,1118,8.4,0.51,0.437,0.113,2,15.5,8.7,13.4,2.2,1.2,17.2,7.1,0.5,1.5,2,0.085,-3.1,2.2,-0.9,0.3
2003,100,Aaron McKie,243,SF,31,PHI,75,2112,13.9,0.55,0.298,0.192,2.5,11.5,7.1,16.8,2.2,0.9,14.1,16.2,2.5,2.3,4.8,0.108,0.6,0.7,1.3,1.7
2002,90,Aaron McKie,243,SF,30,PHI,80,2374,13.7,0.497,0.168,0.201,3,14.5,8.7,18.6,2.9,0.3,13.1,15.8,2.1,3,5.1,0.104,0,1.4,1.4,2
2001,126,Aaron McKie,243,SG,29,PHI,48,1471,15.8,0.54,0.261,0.249,2,12.7,7.4,21.7,2.1,0.7,14.6,19.8,1.8,2.1,3.9,0.128,0.9,0.5,1.4,1.3
2000,78,Aaron McKie,243,SG,28,PHI,76,2394,15.1,0.549,0.238,0.272,1.6,12.9,7.3,26.7,2.3,0.2,20.3,18.9,2.3,3.5,5.9,0.118,0.9,1,1.9,2.4
2005,411,Aaron Miles,101223,PG,22,GSW,19,118,6,0.405,0,0.222,0,13.6,6.6,29.5,1.7,0.6,35.8,11.6,-0.2,0.1,0,-0.015,-7.7,-0.5,-8.2,-0.2
2007,321,Aaron Williams,1425,C,36,LAC,30,297,10.3,0.54,0,0.327,5.8,18,11.9,4.9,2.1,3.8,17.1,11.8,0,0.4,0.4,0.072,-4.7,2.4,-2.3,0
2006,310,Aaron Williams,1425,PF,35,LAC,38,374,9.4,0.606,0.019,0.415,8.7,18.4,13.6,2.9,1,2.9,22.3,10,0.2,0.4,0.7,0.089,-3.6,0.4,-3.2,-0.1
2005,234,Aaron Williams,1425,C,34,TOT,48,791,11.6,0.551,0,0.33,9.4,18.2,13.6,3.6,1.2,2.2,13,13.7,0.8,0.8,1.6,0.096,-2.2,0.2,-2,0
2004,344,Aaron Williams,1425,C,33,TOT,42,315,5.9,0.518,0,0.27,6.2,16.3,11.1,4.2,0.8,2,19.4,12.9,-0.1,0.3,0.3,0.039,-5.7,-0.3,-6,-0.3
2003,147,Aaron Williams,1425,C,32,NJN,72,1337,13.2,0.549,0.009,0.453,8.9,17,13,10.4,1.4,2.7,17.8,17.5,1.1,2.3,3.4,0.122,-2.4,1.6,-0.9,0.4
2002,139,Aaron Williams,1425,C,31,NJN,81,1597,11.9,0.504,0.002,0.296,9.8,13.9,11.8,9,0.9,2.7,14.6,16.4,1.2,2.4,3.7,0.11,-2.3,1.3,-1,0.4
2001,96,Aaron Williams,1425,PF,30,NJN,82,1546,15.2,0.568,0.005,0.424,8.3,16.4,12.3,8.1,1,3.5,13.2,17.4,2.4,2.5,5,0.154,-1.3,1.3,0.1,0.8
2000,94,Aaron Williams,1425,PF,29,NJN,82,2336,15.1,0.533,0.003,0.477,10.1,19.2,14.5,6.5,1.3,3.6,14.4,17.8,2.9,2.3,5.2,0.107,-1.5,0.9,-0.5,0.9
2010,338,Acie Law,201151,PG,26,TOT,51,726,9.9,0.502,0.194,0.344,1.9,8.2,5,16.3,2.2,0,16.7,15.7,0.1,0.3,0.4,0.027,-3,-1.9,-4.8,-0.5
2009,319,Acie Law,201151,PG,25,TOT,26,234,16,0.585,0.213,0.653,1.4,6.6,4.1,17.5,2.3,0.4,15,21.7,0.3,0.2,0.6,0.115,-0.7,-2.5,-3.2,-0.1
2008,299,Acie Law,201151,PG,24,ATL,55,560,10.6,0.49,0.209,0.432,1.3,10.9,6.1,23.4,1.1,0.4,14.9,16.3,0.3,0.4,0.7,0.062,-3,-2,-5,-0.4
2007,421,Acie Law,201151,PG,23,ATL,56,865,7.7,0.455,0.143,0.203,1.6,6,3.8,20.4,1.8,0,17.8,16.5,-0.5,0.4,-0.1,-0.007,-4.1,-2.6,-6.7,-1
2002,364,Adam Harrington,2492,SG,22,TOT,19,111,7.4,0.387,0.378,0.108,1,7.5,4.1,18,0.9,0.7,4.9,16.5,0,0.1,0,0.017,-3.9,-3.2,-7.1,-0.1
2000,289,Adam Keefe,228,PF,30,GSW,67,836,9.7,0.45,0.019,0.396,10.5,16.4,13.3,6.5,1.7,1.7,17.6,11.5,0.1,0.5,0.6,0.032,-3.9,0.2,-3.7,-0.3
2009,404,Adam Morrison,200747,SF,25,LAL,31,241,7.4,0.418,0.247,0.094,4.7,10.1,7.4,11.3,0.6,0.6,10.2,18.3,-0.2,0.2,0,0.009,-4.4,-1.8,-6.2,-0.3
2008,388,Adam Morrison,200747,SF,24,TOT,52,711,5.7,0.448,0.43,0.103,3.1,10.6,6.9,9.4,0.7,0.5,12.1,17.5,-0.6,0.6,0,0.001,-3.8,-1.7,-5.5,-0.6
2006,458,Adam Morrison,200747,PF,22,CHA,78,2326,7.9,0.45,0.273,0.179,2.7,9.2,5.9,11.9,0.6,0.2,11.3,22.4,-2.2,0.8,-1.5,-0.03,-3,-2.5,-5.5,-2
2008,335,Adonal Foyle,1502,C,33,TOT,10,62,19.7,0.623,0,0.545,16.8,30.1,23.6,2.6,0,9.3,18,12.4,0.1,0.2,0.3,0.212,-3.5,4,0.5,0
2007,240,Adonal Foyle,1502,C,32,ORL,82,774,9.9,0.464,0,0.222,11,19.6,15.5,3.4,1.1,4.2,16,11.8,0,1.3,1.3,0.08,-4.4,2.4,-2,0
2006,286,Adonal Foyle,1502,C,31,GSW,48,475,13.7,0.557,0,0.294,11.5,17.7,14.6,5.5,1.1,8,19.3,10.7,0.4,0.6,1,0.104,-3.2,4,0.8,0.3
2005,168,Adonal Foyle,1502,C,30,GSW,77,1824,10.3,0.524,0,0.223,8.5,17.6,13,2.8,1.2,5.1,19.5,10,0.3,2.5,2.8,0.075,-4.1,3.5,-0.6,0.6
2004,154,Adonal Foyle,1502,C,29,GSW,78,1700,12.7,0.514,0,0.232,10.1,17.7,13.7,4.9,0.8,6.7,14.5,10.4,1.2,2.2,3.4,0.096,-3.4,3.8,0.4,1
2003,258,Adonal Foyle,1502,C,28,GSW,44,572,13,0.471,0,0.269,10.6,22.3,16.4,4.8,0.6,5.8,12.6,13.4,0.3,0.8,1.1,0.093,-3.8,2.1,-1.7,0
2002,119,Adonal Foyle,1502,C,27,GSW,82,1787,15.3,0.563,0.003,0.301,10.6,18.5,14.6,3.1,1.1,7.6,15.7,11,2.3,1.7,4,0.106,-1.2,2.7,1.5,1.6
2001,248,Adonal Foyle,1502,C,26,GSW,79,1485,12.5,0.445,0,0.242,10.6,17.3,13.9,4.3,1.2,7.7,15.1,14.2,-0.4,1.6,1.2,0.039,-3.9,2.7,-1.2,0.3
2000,280,Adonal Foyle,1502,C,25,GSW,58,1457,12.4,0.422,0,0.181,10.5,19.7,14.7,5.2,1.1,7.6,16.3,14,-0.8,1.5,0.7,0.022,-4.8,3.2,-1.6,0.2
2013,429,Adonis Thomas,203519,SF,20,TOT,6,37,7.3,0.485,0.357,0.071,0,9.2,4.6,13.4,0,0,6.5,18.5,0,0,0,0.001,-4,-5.7,-9.7,-0.1
2014,488,Adreian Payne,203940,PF,23,TOT,32,739,7.7,0.443,0.041,0.209,7.2,18.2,12.5,6.4,1.3,1,15.5,17,-0.7,0.2,-0.5,-0.033,-4.6,-1.3,-5.9,-0.7
2007,395,Adrian Griffin,1559,SG-SF,33,TOT,35,307,8.7,0.406,0,0.118,10,11.4,10.7,13.4,2.8,0.5,20.8,14.5,-0.3,0.3,0,0.001,-4.2,1.2,-3,-0.1
2006,262,Adrian Griffin,1559,SF,32,CHI,54,585,10.7,0.499,0.047,0.147,7.9,13.4,10.6,15.2,2.8,0.5,21.7,13.3,0.1,1.2,1.3,0.103,-2.5,2.8,0.3,0.3
2005,166,Adrian Griffin,1559,SG,31,DAL,52,1245,11.6,0.521,0.01,0.26,7.4,14.4,11,10.8,2.2,0.6,14.6,10,1.4,1.5,2.9,0.113,0.2,2.2,2.3,1.4
2004,259,Adrian Griffin,1559,SF,30,CHI,69,667,10.7,0.419,0.056,0.273,8.8,15.7,12.2,12.6,3.3,0.4,14.3,14.1,-0.1,1.4,1.3,0.095,-3.2,3.6,0.3,0.4
2003,360,Adrian Griffin,1559,SG,29,HOU,19,133,4.5,0.278,0.111,0.222,0.9,15.2,8.4,11.6,2.9,1.2,13.2,8.2,-0.2,0.2,0.1,0.031,-6.2,3.2,-3,0
2002,163,Adrian Griffin,1559,SG,28,DAL,74,1373,11.5,0.463,0.071,0.095,7.1,14.1,10.6,11,2.9,0.3,11.8,13.2,0.9,1.9,2.9,0.1,-1.1,2,0.9,1
2001,133,Adrian Griffin,1559,SG,27,DAL,58,1383,14.2,0.545,0.15,0.136,5.6,12.7,9.2,11.3,2.8,0.6,9.9,13.8,2.3,1.2,3.5,0.121,1.1,1.3,2.4,1.5
2000,304,Adrian Griffin,1559,SF,26,BOS,44,377,10.5,0.432,0.268,0.247,8,19.4,13.5,11.7,2.5,1,14.3,15.1,0,0.5,0.4,0.056,-3.3,0.4,-2.9,-0.1
2013,341,Al Harrington,1733,PF,33,WAS,34,511,9.7,0.506,0.483,0.169,3.3,15,9.1,8.7,1.4,0,13.3,22.7,-0.2,0.5,0.4,0.035,-2.2,-2.4,-4.6,-0.3
2012,399,Al Harrington,1733,C,32,ORL,10,119,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,-0.1,0.1,0,-0.012,-1.7,-2.1,-3.8,-0.1
2011,130,Al Harrington,1733,PF,31,DEN,64,1761,15.3,0.535,0.392,0.228,4.9,20.4,12.9,8.2,1.7,0.5,11.6,24.4,1.6,1.6,3.2,0.088,0.8,-1.3,-0.5,0.6
2010,209,Al Harrington,1733,PF,30,DEN,73,1665,12.3,0.527,0.486,0.173,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,0.6,1.5,2.1,0.06,0.2,-1.2,-1.1,0.4
2009,149,Al Harrington,1733,PF,29,NYK,72,2195,16.8,0.546,0.397,0.308,4.5,16.7,10.5,8.6,1.4,0.9,10.1,26.8,2.2,1.3,3.5,0.077,0.7,-2.6,-1.9,0.1
2008,135,Al Harrington,1733,PF,28,TOT,73,2546,15.9,0.547,0.388,0.243,4.1,15.8,9.8,6.8,1.7,0.6,10.7,25.7,1.9,2,3.9,0.073,0.6,-1.7,-1.1,0.6
2007,88,Al Harrington,1733,C,27,GSW,81,2190,15.6,0.547,0.442,0.206,5,16.9,10.7,8.9,1.6,0.5,8.2,21.1,3.7,1.7,5.4,0.118,1.6,-1.6,-0.1,1.1
2006,116,Al Harrington,1733,PF,26,TOT,78,2563,14.8,0.54,0.271,0.223,6.5,15.4,10.9,9.8,1.3,0.7,12.4,23.1,2,2.2,4.3,0.08,0.3,-1.1,-0.8,0.7
2005,129,Al Harrington,1733,PF,25,ATL,76,2782,16,0.513,0.157,0.287,5.5,17.4,11.3,15.8,1.6,0.4,12.4,25.6,2.6,1.2,3.8,0.065,0.5,-1.6,-1.1,0.6
2004,242,Al Harrington,1733,SF,24,ATL,66,2550,14.4,0.508,0.075,0.356,6.3,15.2,10.5,14.5,1.8,0.5,15.2,23.6,0.6,1,1.6,0.03,-0.5,-0.8,-1.3,0.4
2003,73,Al Harrington,1733,PF,23,IND,79,2441,14.9,0.514,0.085,0.277,7.8,16.9,12.3,10.3,1.8,0.7,13.8,22.9,1.8,4.1,5.9,0.116,-0.6,1,0.4,1.5
2002,128,Al Harrington,1733,SF,22,IND,82,2467,12.4,0.493,0.051,0.306,7.4,15.7,11.6,8.8,1.5,1,13.8,21.6,0.7,3.2,3.9,0.075,-2,0.2,-1.8,0.1
2001,174,Al Harrington,1733,PF,21,IND,44,1313,14.3,0.526,0.006,0.298,8.5,15.1,11.9,7.3,1.6,1.1,12.5,21.6,1.2,1.4,2.6,0.094,-1,-0.2,-1.2,0.3
2000,248,Al Harrington,1733,PF,20,IND,78,1892,10.2,0.479,0.013,0.289,7.4,15.2,11.4,11.8,1.8,0.7,19.5,18.8,-1,2.2,1.2,0.031,-3.2,0.7,-2.5,-0.2
2014,19,Al Horford,201143,C,28,ATL,76,2318,21.4,0.563,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,1.3,2.5,3.8,3.4
2013,174,Al Horford,201143,C,27,ATL,29,958,22,0.588,0.026,0.202,8,21.4,14.8,15.2,1.4,3.6,12.3,24.7,1.5,1.3,2.8,0.141,0.8,2,2.8,1.1
2012,23,Al Horford,201143,C,26,ATL,74,2756,19.8,0.56,0.006,0.196,8.2,23,15.7,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,0.153,0.7,2.4,3.1,3.5
2011,244,Al Horford,201143,C,25,ATL,11,348,19,0.585,0.01,0.291,8.8,17.1,13,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,0.18,0.5,2.3,2.8,0.4
2010,15,Al Horford,201143,C,24,ATL,77,2704,20.7,0.587,0.004,0.204,8.2,23.7,16,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2,2.4,4.4,4.4
2009,9,Al Horford,201143,C,23,ATL,81,2845,19.4,0.594,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.5,1.9,3.3,3.8
2008,51,Al Horford,201143,C,22,ATL,67,2242,17,0.565,0.002,0.345,7.6,25,16.3,11.9,1.3,3.3,13.1,16.4,3.3,3.5,6.8,0.145,-0.7,3.1,2.3,2.5
2007,87,Al Horford,201143,C,21,ATL,81,2540,14.7,0.539,0.007,0.317,11.4,24.5,18,7.9,1.2,2.2,15.3,16,2.4,3,5.5,0.103,-1.3,1.1,-0.2,1.2
2014,87,Al Jefferson,2744,C,30,CHO,65,1992,19.7,0.5,0.005,0.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,1.3,3.4,4.7,0.113,-1.3,1.6,0.2,1.1
2013,31,Al Jefferson,2744,C,29,CHA,73,2553,22.7,0.532,0.011,0.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,0.146,0.3,1.5,1.8,2.5
2012,28,Al Jefferson,2744,C,28,UTA,78,2578,20.9,0.522,0.014,0.176,7,25.9,16.3,12,1.6,2.7,7.3,25.3,4.3,3.3,7.7,0.143,0.5,1,1.5,2.2
2011,20,Al Jefferson,2744,C,27,UTA,61,2075,22.8,0.52,0.004,0.169,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,4.9,2.5,7.5,0.173,1.7,1.3,3,2.6
2010,33,Al Jefferson,2744,C,26,UTA,82,2940,20.1,0.528,0,0.219,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,5.1,2.7,7.8,0.128,0,0.1,0.1,1.5
2009,106,Al Jefferson,2744,C,25,MIN,76,2463,19,0.524,0.004,0.236,8,24.2,16,10,1.3,3,9.9,24.3,2.3,2.3,4.6,0.09,-0.9,0.5,-0.4,1
2008,98,Al Jefferson,2744,C,24,MIN,50,1836,23.1,0.532,0.004,0.258,10.6,24.9,17.5,8.8,1.1,3.5,7.8,28.9,2.9,2,4.9,0.128,0.6,0.1,0.7,1.2
2007,44,Al Jefferson,2744,C,23,MIN,82,2919,22.7,0.535,0.003,0.273,11.9,24.7,18.1,7.5,1.3,3.2,9.4,27.5,4.8,2.9,7.7,0.127,0.6,-0.3,0.3,1.7
2006,52,Al Jefferson,2744,C,22,BOS,69,2319,19.8,0.547,0.001,0.334,12,27.4,19.5,7.2,1.1,3.5,11.8,22.4,3.3,3.3,6.6,0.137,-0.5,1,0.6,1.5
2005,199,Al Jefferson,2744,PF,21,BOS,59,1062,16.2,0.53,0.011,0.354,11.4,22.6,17.2,5,1.5,3.3,12.4,21.6,0.9,1.5,2.3,0.105,-2.6,-0.4,-3.1,-0.3
2004,181,Al Jefferson,2744,PF,20,BOS,71,1051,16.6,0.554,0.008,0.366,13.5,21,17.3,3.9,1.1,3.9,13.3,21.2,1.3,1.4,2.7,0.123,-1.7,-0.9,-2.7,-0.2
2010,252,Al Thornton,201154,SF-PF,27,TOT,71,1383,11.7,0.531,0.06,0.329,4.5,13.4,8.8,7.2,1.3,0.7,11.5,17.8,1,0.6,1.6,0.054,-2.5,-1.8,-4.3,-0.8
2009,212,Al Thornton,201154,SF,26,TOT,75,2079,11.8,0.523,0.046,0.312,6.4,10,8.2,7.1,1.1,1.3,11.7,19,1.2,1,2.2,0.05,-1.9,-0.8,-2.7,-0.4
2008,261,Al Thornton,201154,SF,25,LAC,71,2654,12.6,0.502,0.075,0.298,5.2,11,8,6.9,1.2,1.7,9.9,22.6,0.2,1,1.3,0.023,-2.3,-1.2,-3.5,-1
2007,261,Al Thornton,201154,PF,24,LAC,79,2158,12.7,0.504,0.149,0.331,5.2,14,9.6,8.4,1.1,1.5,11.4,24.1,-0.5,1.6,1.1,0.025,-2.5,-1.3,-3.8,-1
2014,182,Alan Anderson,101187,SG,32,BRK,74,1744,10.6,0.563,0.477,0.23,2,11.1,6.6,7.2,1.7,0.2,11,14.2,1.7,1.1,2.7,0.075,0,-0.5,-0.5,0.6
2013,241,Alan Anderson,101187,SF,31,BRK,78,1773,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-0.8,-1.4,-2.2,-0.1
2012,245,Alan Anderson,101187,SF,30,TOR,65,1495,12.6,0.509,0.463,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052,0.4,-2.4,-2,0
2011,335,Alan Anderson,101187,SF,29,TOR,17,461,8.7,0.519,0.43,0.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,0.1,0.2,0.3,0.032,-1.2,-2.2,-3.4,-0.2
2006,362,Alan Anderson,101187,SG,24,CHA,17,256,10.1,0.538,0.247,0.284,4.9,10,7.4,13.8,1.4,0,19.4,20.1,0,0.1,0.1,0.024,-2.2,-1.8,-4,-0.1
2005,317,Alan Anderson,101187,SF,23,CHA,36,564,10.4,0.52,0.32,0.227,4.4,10.3,7.2,9.3,1,0.6,13.9,18.2,0.2,0.3,0.4,0.037,-1.9,-1.8,-3.7,-0.2
2006,246,Alan Henderson,673,PF,34,PHI,38,418,15.7,0.679,0,0.701,13.8,16.9,15.4,3.8,1.1,2.2,12,11,1.1,0.4,1.6,0.181,0.6,0,0.6,0.3
2005,243,Alan Henderson,673,C,33,CLE,51,531,12.2,0.564,0,0.538,13.3,17.3,15.3,2.9,0.9,1.7,16.3,11.7,0.7,0.6,1.3,0.116,-2.2,-0.3,-2.4,-0.1
2004,164,Alan Henderson,673,PF,32,DAL,78,1203,12.4,0.539,0.009,0.345,15.6,16.8,16.2,2.6,1.2,2.3,16.2,11.3,1.5,1.5,3.1,0.122,-0.9,0.6,-0.3,0.5
2003,343,Alan Henderson,673,PF,31,ATL,6,68,18.2,0.508,0,0.286,18.5,16.5,17.5,5.2,0.8,2.2,11.3,17.8,0.1,0,0.2,0.109,-0.8,-2.5,-3.3,0
2002,177,Alan Henderson,673,C,30,ATL,82,1494,12.1,0.508,0.006,0.422,12.4,17.8,15.2,4.5,1.2,1.5,13.6,13.8,1.5,1.1,2.6,0.083,-2.1,-0.9,-3,-0.4
2001,284,Alan Henderson,673,PF,29,ATL,26,422,13.4,0.527,0.009,0.388,8.4,17.9,13.1,4.4,1.4,2.6,13.4,16.8,0.3,0.4,0.7,0.074,-3,-0.3,-3.3,-0.1
2000,206,Alan Henderson,673,PF,28,ATL,73,1810,14,0.487,0.001,0.404,11,14,12.5,4.9,1.5,1.1,13.8,22.6,0.5,1.4,1.9,0.05,-2.1,-1.3,-3.4,-0.6
2009,381,Alando Tucker,201169,SF,25,TOT,15,96,13.4,0.529,0.179,0.538,7.4,4.6,5.9,6.4,0,0,9.4,24.4,0.1,0,0.1,0.061,-1.3,-5.4,-6.8,-0.1
2008,351,Alando Tucker,201169,SG,24,PHO,30,282,13,0.509,0.19,0.273,8.2,4.8,6.4,6.4,0.9,0.3,9.4,23.3,0.2,0,0.2,0.039,-1.2,-4.6,-5.8,-0.3
2007,412,Alando Tucker,201169,SF,23,PHO,6,48,11.8,0.446,0.182,0.273,10.2,8.7,9.4,0,0,1.4,0,23,0,0,0,0.042,-4.5,-7.4,-11.8,-0.1
2014,246,Alec Burks,202692,SG,23,UTA,27,899,13,0.524,0.227,0.43,2.5,12.1,7.3,15.2,1,0.4,12.7,20.8,1.1,0.6,1.7,0.089,-0.4,-1.1,-1.6,0.1
2013,155,Alec Burks,202692,SG,22,UTA,78,2193,15.8,0.547,0.172,0.449,3,10.7,6.8,16.9,1.7,0.5,13,23.9,2.6,0.6,3.2,0.07,0.5,-1.7,-1.2,0.5
2012,292,Alec Burks,202692,SG,21,UTA,64,1137,11.5,0.507,0.237,0.332,3.8,11.2,7.5,13,1.6,0.9,14.3,20.7,0.3,0.7,1,0.044,-1.4,-1.3,-2.7,-0.2
2011,224,Alec Burks,202692,SG,20,UTA,59,939,14,0.506,0.126,0.401,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,1.1,0.4,1.5,0.076,-0.2,-2.2,-2.5,-0.1
2004,454,Aleksandar Radojevic,1893,C,28,UTA,12,128,-1.5,0.406,0,0.526,8.5,18.9,13.6,7,0,1.3,39.1,13.8,-0.4,0.1,-0.3,-0.117,-8.3,-0.8,-9,-0.2
2008,369,Alex Acker,101165,SG,26,TOT,25,199,10.4,0.448,0.263,0.132,4.5,9.6,7,10.2,1.3,1.5,8,20.1,-0.1,0.1,0,-0.011,-3.6,-2.4,-6,-0.2
